supplier_id,supplier_name,region,primary_plant,tier,part_category,risk_profile,contract_value_usd,active_parts
SUPP_060,Supplier_060,APAC-China,Giga Shanghai,Tier 3,Powertrain,Low,9870432,68
SUPP_061,Supplier_061,NA-Central,Giga Texas,Tier 2,Exterior Panels,High,38172777,142
SUPP_062,Supplier_062,NA-West,Giga Fremont,Tier 1,Thermal Management,Low,18132290,154
SUPP_063,Supplier_063,EMEA-Europe,Giga Berlin,Tier 2,Fasteners,Medium,29251707,154
SUPP_064,Supplier_064,NA-East,Giga New York,Tier 2,Electronics,Low,27303314,97
SUPP_065,Supplier_065,NA-West,Giga Fremont,Tier 1,Thermal Management,High,15218366,40
SUPP_066,Supplier_066,NA-East,Giga New York,Tier 3,Electronics,Medium,34693730,131
SUPP_067,Supplier_067,NA-Central,Giga Texas,Tier 2,Exterior Panels,High,6600827,17
SUPP_068,Supplier_068,NA-West,Giga Fremont,Tier 1,Interior,Low,7858428,44
SUPP_069,Supplier_069,NA-Central,Giga Texas,Tier 1,Interior,Medium,42607191,45
SUPP_070,Supplier_070,NA-West,Giga Fremont,Tier 3,Interior,Low,46166321,113
SUPP_071,Supplier_071,APAC-China,Giga Shanghai,Tier 1,Chassis & Frame,Medium,40524332,21
SUPP_072,Supplier_072,APAC-China,Giga Shanghai,Tier 1,Chassis & Frame,Low,26321297,102
SUPP_073,Supplier_073,EMEA-Europe,Giga Berlin,Tier 1,Exterior Panels,Low,40489395,124
SUPP_074,Supplier_074,NA-East,Giga New York,Tier 2,Electronics,Medium,36008262,69
SUPP_075,Supplier_075,NA-West,Giga Fremont,Tier 2,Thermal Management,Low,37626361,7
SUPP_076,Supplier_076,NA-West,Giga Fremont,Tier 1,Powertrain,Medium,46153046,34
SUPP_077,Supplier_077,EMEA-Europe,Giga Berlin,Tier 2,Exterior Panels,Medium,46248808,142
SUPP_078,Supplier_078,NA-East,Giga New York,Tier 1,Powertrain,High,18406335,169
SUPP_079,Supplier_079,APAC-China,Giga Shanghai,Tier 2,Battery Systems,Medium,23328789,33
SUPP_080,Supplier_080,NA-West,Giga Fremont,Tier 1,Thermal Management,Medium,20196460,116
SUPP_081,Supplier_081,APAC-China,Giga Shanghai,Tier 1,Interior,Medium,11113787,121
SUPP_082,Supplier_082,NA-East,Giga New York,Tier 2,Electronics,Medium,717789,72
SUPP_083,Supplier_083,NA-Central,Giga Texas,Tier 1,Powertrain,High,34093765,50
SUPP_084,Supplier_084,NA-West,Giga Fremont,Tier 1,Fasteners,Low,34569940,32
SUPP_085,Supplier_085,NA-West,Giga Fremont,Tier 2,Chassis & Frame,Low,42463185,81
SUPP_086,Supplier_086,APAC-China,Giga Shanghai,Tier 1,Thermal Management,Low,43379174,134
SUPP_087,Supplier_087,NA-Central,Giga Texas,Tier 2,Fasteners,Low,41367299,55
SUPP_088,Supplier_088,NA-West,Giga Fremont,Tier 3,Powertrain,Low,10756869,100
SUPP_089,Supplier_089,EMEA-Europe,Giga Berlin,Tier 1,Interior,Medium,11341372,143
SUPP_090,Supplier_090,NA-West,Giga Fremont,Tier 1,Thermal Management,High,36091432,5
SUPP_091,Supplier_091,EMEA-Europe,Giga Berlin,Tier 1,Powertrain,High,40694490,87
SUPP_092,Supplier_092,NA-East,Giga New York,Tier 1,Thermal Management,Medium,33289774,9
SUPP_093,Supplier_093,NA-Central,Giga Texas,Tier 1,Exterior Panels,Medium,8007315,97
SUPP_094,Supplier_094,NA-Central,Giga Texas,Tier 1,Chassis & Frame,Medium,21136923,66
SUPP_095,Supplier_095,NA-West,Giga Fremont,Tier 1,Chassis & Frame,Low,4387292,66
SUPP_096,Supplier_096,NA-East,Giga New York,Tier 1,Fasteners,Low,38574679,25
SUPP_097,Supplier_097,EMEA-Europe,Giga Berlin,Tier 2,Interior,Low,6248105,129
SUPP_098,Supplier_098,EMEA-Europe,Giga Berlin,Tier 2,Interior,Low,5144773,141
SUPP_099,Supplier_099,NA-East,Giga New York,Tier 1,Powertrain,High,8939645,37
SUPP_100,Supplier_100,APAC-China,Giga Shanghai,Tier 1,Powertrain,Medium,44775128,126
SUPP_101,Supplier_101,NA-Central,Giga Texas,Tier 3,Chassis & Frame,Medium,37396694,47
SUPP_102,Supplier_102,NA-Central,Giga Texas,Tier 3,Powertrain,Low,18287649,140
SUPP_103,Supplier_103,NA-Central,Giga Texas,Tier 3,Exterior Panels,Medium,41207828,113
SUPP_104,Supplier_104,NA-Central,Giga Texas,Tier 1,Chassis & Frame,Medium,14713536,143
SUPP_105,Supplier_105,APAC-China,Giga Shanghai,Tier 1,Battery Systems,Medium,49484844,56
SUPP_106,Supplier_106,NA-West,Giga Fremont,Tier 1,Interior,Low,48345195,84
SUPP_107,Supplier_107,NA-West,Giga Fremont,Tier 1,Electronics,Low,27275919,176
SUPP_108,Supplier_108,NA-Central,Giga Texas,Tier 1,Powertrain,Low,44112578,100
SUPP_109,Supplier_109,EMEA-Europe,Giga Berlin,Tier 1,Interior,Medium,29900398,137
SUPP_110,Supplier_110,NA-East,Giga New York,Tier 3,Exterior Panels,Medium,30798722,35
SUPP_111,Supplier_111,EMEA-Europe,Giga Berlin,Tier 1,Powertrain,Medium,17136664,62
SUPP_112,Supplier_112,NA-Central,Giga Texas,Tier 2,Electronics,Medium,4796705,91
SUPP_113,Supplier_113,NA-East,Giga New York,Tier 2,Exterior Panels,High,1911585,155
SUPP_114,Supplier_114,NA-Central,Giga Texas,Tier 1,Fasteners,Medium,37673044,63
SUPP_115,Supplier_115,EMEA-Europe,Giga Berlin,Tier 1,Battery Systems,Medium,39989547,61
SUPP_116,Supplier_116,NA-East,Giga New York,Tier 1,Chassis & Frame,High,982569,23
SUPP_117,Supplier_117,NA-East,Giga New York,Tier 1,Battery Systems,High,48002401,166
SUPP_118,Supplier_118,NA-East,Giga New York,Tier 3,Fasteners,High,4450951,63
SUPP_119,Supplier_119,NA-Central,Giga Texas,Tier 2,Chassis & Frame,Low,5023159,13
SUPP_120,Supplier_120,NA-Central,Giga Texas,Tier 2,Chassis & Frame,Medium,22674680,23
