shipment_id,supplier_id,supplier_name,region,primary_plant,tier,part_category,risk_profile,ship_date,ship_month,ship_quarter,po_value_usd,qty_ordered,has_violation,violation_type,penalty_usd,is_false_positive,fp_suppression_reason,chargeback_issued,dispute_raised,dispute_status,final_penalty_usd
SHP-472528,SUPP_026,Supplier_026,NA-West,Giga Fremont,Tier 2,Electronics,Low,2024-11-21,2024-11,Q4 2024,445314,3038,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-816751,SUPP_043,Supplier_043,NA-Central,Giga Texas,Tier 1,Chassis & Frame,Low,2024-04-17,2024-04,Q2 2024,359364,2237,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-356702,SUPP_041,Supplier_041,APAC-China,Giga Shanghai,Tier 1,Powertrain,Medium,2024-11-27,2024-11,Q4 2024,45435,1451,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-771088,SUPP_039,Supplier_039,NA-East,Giga New York,Tier 3,Thermal Management,Low,2024-03-24,2024-03,Q1 2024,250357,3158,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-983794,SUPP_092,Supplier_092,NA-East,Giga New York,Tier 1,Thermal Management,Medium,2024-12-18,2024-12,Q4 2024,300002,1849,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-133659,SUPP_110,Supplier_110,NA-East,Giga New York,Tier 3,Exterior Panels,Medium,2025-01-28,2025-01,Q1 2025,414847,508,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-321231,SUPP_114,Supplier_114,NA-Central,Giga Texas,Tier 1,Fasteners,Medium,2025-02-16,2025-02,Q1 2025,173388,3336,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-623481,SUPP_011,Supplier_011,EMEA-Europe,Giga Berlin,Tier 1,Chassis & Frame,Low,2024-10-17,2024-10,Q4 2024,384393,2627,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-246413,SUPP_046,Supplier_046,NA-East,Giga New York,Tier 1,Thermal Management,Low,2024-07-21,2024-07,Q3 2024,345039,3808,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-883300,SUPP_056,Supplier_056,APAC-China,Giga Shanghai,Tier 1,Battery Systems,Low,2024-05-06,2024-05,Q2 2024,398588,4648,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-329974,SUPP_049,Supplier_049,NA-West,Giga Fremont,Tier 2,Electronics,Low,2024-10-26,2024-10,Q4 2024,232622,4830,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-260265,SUPP_113,Supplier_113,NA-East,Giga New York,Tier 2,Exterior Panels,High,2024-03-11,2024-03,Q1 2024,275138,4092,True,ASN_LATE,709.72,False,,True,False,N/A,709.72
SHP-503457,SUPP_062,Supplier_062,NA-West,Giga Fremont,Tier 1,Thermal Management,Low,2024-11-17,2024-11,Q4 2024,91876,3508,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-680099,SUPP_037,Supplier_037,EMEA-Europe,Giga Berlin,Tier 3,Fasteners,Low,2024-07-14,2024-07,Q3 2024,320417,3884,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-663054,SUPP_109,Supplier_109,EMEA-Europe,Giga Berlin,Tier 1,Interior,Medium,2025-03-16,2025-03,Q1 2025,14019,988,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-555884,SUPP_031,Supplier_031,NA-West,Giga Fremont,Tier 1,Electronics,Low,2025-01-19,2025-01,Q1 2025,147893,2836,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-854639,SUPP_042,Supplier_042,NA-West,Giga Fremont,Tier 3,Electronics,Medium,2024-03-21,2024-03,Q1 2024,245881,76,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-211579,SUPP_002,Supplier_002,NA-Central,Giga Texas,Tier 1,Fasteners,Low,2024-05-14,2024-05,Q2 2024,270451,1513,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-632323,SUPP_078,Supplier_078,NA-East,Giga New York,Tier 1,Powertrain,High,2025-03-21,2025-03,Q1 2025,335837,2494,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-269396,SUPP_045,Supplier_045,APAC-China,Giga Shanghai,Tier 1,Interior,Low,2024-11-07,2024-11,Q4 2024,112286,1302,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-728038,SUPP_061,Supplier_061,NA-Central,Giga Texas,Tier 2,Exterior Panels,High,2024-10-03,2024-10,Q4 2024,416224,4394,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-480612,SUPP_102,Supplier_102,NA-Central,Giga Texas,Tier 3,Powertrain,Low,2024-06-14,2024-06,Q2 2024,264170,209,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-352572,SUPP_036,Supplier_036,APAC-China,Giga Shanghai,Tier 1,Electronics,Medium,2025-03-25,2025-03,Q1 2025,444032,2569,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-609597,SUPP_073,Supplier_073,EMEA-Europe,Giga Berlin,Tier 1,Exterior Panels,Low,2025-03-25,2025-03,Q1 2025,305458,695,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-234628,SUPP_076,Supplier_076,NA-West,Giga Fremont,Tier 1,Powertrain,Medium,2025-02-21,2025-02,Q1 2025,44287,4413,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-653306,SUPP_070,Supplier_070,NA-West,Giga Fremont,Tier 3,Interior,Low,2024-12-03,2024-12,Q4 2024,257184,4553,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-665492,SUPP_020,Supplier_020,NA-East,Giga New York,Tier 1,Battery Systems,High,2025-03-22,2025-03,Q1 2025,326029,3516,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-518373,SUPP_087,Supplier_087,NA-Central,Giga Texas,Tier 2,Fasteners,Low,2025-01-21,2025-01,Q1 2025,390694,1697,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-642717,SUPP_065,Supplier_065,NA-West,Giga Fremont,Tier 1,Thermal Management,High,2024-12-09,2024-12,Q4 2024,348723,3109,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-454508,SUPP_046,Supplier_046,NA-East,Giga New York,Tier 1,Thermal Management,Low,2024-08-19,2024-08,Q3 2024,71441,2080,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-330914,SUPP_006,Supplier_006,NA-West,Giga Fremont,Tier 1,Electronics,Medium,2024-01-11,2024-01,Q1 2024,316443,4587,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-174299,SUPP_040,Supplier_040,NA-Central,Giga Texas,Tier 1,Thermal Management,High,2024-01-04,2024-01,Q1 2024,45220,532,True,ASN_LATE,708.76,False,,True,False,N/A,708.76
SHP-324643,SUPP_092,Supplier_092,NA-East,Giga New York,Tier 1,Thermal Management,Medium,2024-09-20,2024-09,Q3 2024,132782,2331,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-354801,SUPP_007,Supplier_007,NA-West,Giga Fremont,Tier 1,Exterior Panels,Low,2024-10-03,2024-10,Q4 2024,77369,4727,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-201639,SUPP_022,Supplier_022,NA-West,Giga Fremont,Tier 2,Electronics,Medium,2025-02-05,2025-02,Q1 2025,255974,3384,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-589710,SUPP_091,Supplier_091,EMEA-Europe,Giga Berlin,Tier 1,Powertrain,High,2024-12-03,2024-12,Q4 2024,233994,2952,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-777568,SUPP_029,Supplier_029,NA-West,Giga Fremont,Tier 1,Fasteners,High,2025-03-18,2025-03,Q1 2025,390245,493,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-939482,SUPP_046,Supplier_046,NA-East,Giga New York,Tier 1,Thermal Management,Low,2024-02-20,2024-02,Q1 2024,39778,3348,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-662336,SUPP_022,Supplier_022,NA-West,Giga Fremont,Tier 2,Electronics,Medium,2025-03-17,2025-03,Q1 2025,65288,2086,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-585100,SUPP_049,Supplier_049,NA-West,Giga Fremont,Tier 2,Electronics,Low,2024-08-17,2024-08,Q3 2024,81495,3506,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-997546,SUPP_050,Supplier_050,EMEA-Europe,Giga Berlin,Tier 2,Interior,Medium,2024-05-07,2024-05,Q2 2024,47523,3680,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-666847,SUPP_108,Supplier_108,NA-Central,Giga Texas,Tier 1,Powertrain,Low,2024-10-08,2024-10,Q4 2024,59332,464,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-989921,SUPP_059,Supplier_059,APAC-China,Giga Shanghai,Tier 2,Electronics,Low,2025-03-04,2025-03,Q1 2025,15737,814,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-324130,SUPP_094,Supplier_094,NA-Central,Giga Texas,Tier 1,Chassis & Frame,Medium,2024-05-01,2024-05,Q2 2024,95194,3379,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-102260,SUPP_110,Supplier_110,NA-East,Giga New York,Tier 3,Exterior Panels,Medium,2025-03-18,2025-03,Q1 2025,218260,530,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-830429,SUPP_046,Supplier_046,NA-East,Giga New York,Tier 1,Thermal Management,Low,2024-07-18,2024-07,Q3 2024,147042,3777,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-610311,SUPP_048,Supplier_048,EMEA-Europe,Giga Berlin,Tier 1,Electronics,Low,2025-01-09,2025-01,Q1 2025,418707,4602,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-161324,SUPP_115,Supplier_115,EMEA-Europe,Giga Berlin,Tier 1,Battery Systems,Medium,2024-03-20,2024-03,Q1 2024,107561,2480,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-428838,SUPP_045,Supplier_045,APAC-China,Giga Shanghai,Tier 1,Interior,Low,2024-10-23,2024-10,Q4 2024,393738,4491,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-994141,SUPP_034,Supplier_034,NA-East,Giga New York,Tier 1,Interior,High,2024-01-30,2024-01,Q1 2024,34289,4835,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-184002,SUPP_047,Supplier_047,NA-Central,Giga Texas,Tier 2,Electronics,High,2024-09-28,2024-09,Q3 2024,90540,515,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-808011,SUPP_029,Supplier_029,NA-West,Giga Fremont,Tier 1,Fasteners,High,2025-03-11,2025-03,Q1 2025,105425,611,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-141672,SUPP_008,Supplier_008,NA-West,Giga Fremont,Tier 2,Interior,Medium,2025-03-17,2025-03,Q1 2025,131314,3357,True,QTY_MISMATCH,7740.43,False,,True,False,N/A,7740.43
SHP-692683,SUPP_070,Supplier_070,NA-West,Giga Fremont,Tier 3,Interior,Low,2024-11-13,2024-11,Q4 2024,50982,3484,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-850981,SUPP_019,Supplier_019,NA-East,Giga New York,Tier 1,Interior,Low,2024-09-24,2024-09,Q3 2024,173868,2186,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-804318,SUPP_024,Supplier_024,EMEA-Europe,Giga Berlin,Tier 1,Battery Systems,Low,2024-06-09,2024-06,Q2 2024,133140,2225,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-888387,SUPP_097,Supplier_097,EMEA-Europe,Giga Berlin,Tier 2,Interior,Low,2024-11-26,2024-11,Q4 2024,165284,3795,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-690341,SUPP_111,Supplier_111,EMEA-Europe,Giga Berlin,Tier 1,Powertrain,Medium,2024-02-07,2024-02,Q1 2024,12883,3804,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-465962,SUPP_090,Supplier_090,NA-West,Giga Fremont,Tier 1,Thermal Management,High,2024-02-21,2024-02,Q1 2024,46409,4454,True,OTIF_MISS,1112.6,False,,True,False,N/A,1112.6
SHP-265409,SUPP_033,Supplier_033,APAC-China,Giga Shanghai,Tier 2,Battery Systems,Low,2025-03-27,2025-03,Q1 2025,44066,2051,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-741390,SUPP_059,Supplier_059,APAC-China,Giga Shanghai,Tier 2,Electronics,Low,2024-08-12,2024-08,Q3 2024,445122,4500,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-208618,SUPP_078,Supplier_078,NA-East,Giga New York,Tier 1,Powertrain,High,2025-02-17,2025-02,Q1 2025,350871,4383,True,OTIF_MISS,16825.21,False,,True,True,Upheld,16825.21
SHP-262998,SUPP_047,Supplier_047,NA-Central,Giga Texas,Tier 2,Electronics,High,2025-03-25,2025-03,Q1 2025,78407,2216,True,ASN_MISSING,0.0,True,Supplier_Portal_Outage,False,False,N/A,0.0
SHP-313487,SUPP_060,Supplier_060,APAC-China,Giga Shanghai,Tier 3,Powertrain,Low,2024-05-19,2024-05,Q2 2024,155721,1775,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-363319,SUPP_066,Supplier_066,NA-East,Giga New York,Tier 3,Electronics,Medium,2024-12-17,2024-12,Q4 2024,340523,2212,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-969634,SUPP_105,Supplier_105,APAC-China,Giga Shanghai,Tier 1,Battery Systems,Medium,2025-03-09,2025-03,Q1 2025,34633,806,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-237174,SUPP_079,Supplier_079,APAC-China,Giga Shanghai,Tier 2,Battery Systems,Medium,2024-05-21,2024-05,Q2 2024,31114,79,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-678478,SUPP_051,Supplier_051,NA-West,Giga Fremont,Tier 2,Exterior Panels,Medium,2024-11-22,2024-11,Q4 2024,145340,1373,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-824586,SUPP_016,Supplier_016,NA-East,Giga New York,Tier 3,Fasteners,High,2024-12-27,2024-12,Q4 2024,232231,4644,True,ASN_MISSING,1912.08,False,,True,False,N/A,1912.08
SHP-710805,SUPP_091,Supplier_091,EMEA-Europe,Giga Berlin,Tier 1,Powertrain,High,2024-03-17,2024-03,Q1 2024,294046,345,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-934794,SUPP_057,Supplier_057,EMEA-Europe,Giga Berlin,Tier 3,Exterior Panels,Medium,2024-10-09,2024-10,Q4 2024,85643,3570,True,OTIF_MISS,0.0,True,Weather_Force_Majeure,False,False,N/A,0.0
SHP-361650,SUPP_057,Supplier_057,EMEA-Europe,Giga Berlin,Tier 3,Exterior Panels,Medium,2025-03-16,2025-03,Q1 2025,28916,2981,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-526117,SUPP_115,Supplier_115,EMEA-Europe,Giga Berlin,Tier 1,Battery Systems,Medium,2024-12-07,2024-12,Q4 2024,61893,2947,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-348237,SUPP_061,Supplier_061,NA-Central,Giga Texas,Tier 2,Exterior Panels,High,2024-11-13,2024-11,Q4 2024,400942,1316,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-125990,SUPP_046,Supplier_046,NA-East,Giga New York,Tier 1,Thermal Management,Low,2025-03-18,2025-03,Q1 2025,93197,1500,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-531712,SUPP_068,Supplier_068,NA-West,Giga Fremont,Tier 1,Interior,Low,2024-04-01,2024-04,Q2 2024,394171,2771,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-925622,SUPP_093,Supplier_093,NA-Central,Giga Texas,Tier 1,Exterior Panels,Medium,2025-02-14,2025-02,Q1 2025,359224,2082,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-593554,SUPP_107,Supplier_107,NA-West,Giga Fremont,Tier 1,Electronics,Low,2024-12-25,2024-12,Q4 2024,64673,3183,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-960394,SUPP_042,Supplier_042,NA-West,Giga Fremont,Tier 3,Electronics,Medium,2024-04-23,2024-04,Q2 2024,112633,3820,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-392136,SUPP_029,Supplier_029,NA-West,Giga Fremont,Tier 1,Fasteners,High,2025-02-11,2025-02,Q1 2025,127325,1876,True,QTY_MISMATCH,6356.48,False,,True,True,Upheld,6356.48
SHP-634150,SUPP_053,Supplier_053,APAC-China,Giga Shanghai,Tier 3,Electronics,Low,2025-03-18,2025-03,Q1 2025,44396,2336,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-128941,SUPP_045,Supplier_045,APAC-China,Giga Shanghai,Tier 1,Interior,Low,2024-07-23,2024-07,Q3 2024,364263,4442,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-378361,SUPP_088,Supplier_088,NA-West,Giga Fremont,Tier 3,Powertrain,Low,2024-02-29,2024-02,Q1 2024,144951,1512,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-863934,SUPP_075,Supplier_075,NA-West,Giga Fremont,Tier 2,Thermal Management,Low,2024-01-20,2024-01,Q1 2024,64834,4937,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-636265,SUPP_056,Supplier_056,APAC-China,Giga Shanghai,Tier 1,Battery Systems,Low,2025-02-06,2025-02,Q1 2025,172457,3624,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-146542,SUPP_019,Supplier_019,NA-East,Giga New York,Tier 1,Interior,Low,2024-02-29,2024-02,Q1 2024,209953,4773,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-945687,SUPP_104,Supplier_104,NA-Central,Giga Texas,Tier 1,Chassis & Frame,Medium,2024-12-28,2024-12,Q4 2024,236619,63,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-173372,SUPP_078,Supplier_078,NA-East,Giga New York,Tier 1,Powertrain,High,2024-10-02,2024-10,Q4 2024,368110,1664,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-230679,SUPP_089,Supplier_089,EMEA-Europe,Giga Berlin,Tier 1,Interior,Medium,2024-12-06,2024-12,Q4 2024,181119,2621,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-528231,SUPP_062,Supplier_062,NA-West,Giga Fremont,Tier 1,Thermal Management,Low,2025-01-03,2025-01,Q1 2025,165455,4204,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-301158,SUPP_086,Supplier_086,APAC-China,Giga Shanghai,Tier 1,Thermal Management,Low,2024-06-16,2024-06,Q2 2024,218973,2472,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-282480,SUPP_074,Supplier_074,NA-East,Giga New York,Tier 2,Electronics,Medium,2024-08-03,2024-08,Q3 2024,356614,3155,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-974224,SUPP_074,Supplier_074,NA-East,Giga New York,Tier 2,Electronics,Medium,2024-11-11,2024-11,Q4 2024,306375,2515,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-923927,SUPP_042,Supplier_042,NA-West,Giga Fremont,Tier 3,Electronics,Medium,2024-01-01,2024-01,Q1 2024,167317,2400,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-563638,SUPP_042,Supplier_042,NA-West,Giga Fremont,Tier 3,Electronics,Medium,2024-10-23,2024-10,Q4 2024,326065,2689,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-934692,SUPP_114,Supplier_114,NA-Central,Giga Texas,Tier 1,Fasteners,Medium,2024-12-11,2024-12,Q4 2024,120041,4237,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-887625,SUPP_047,Supplier_047,NA-Central,Giga Texas,Tier 2,Electronics,High,2025-01-11,2025-01,Q1 2025,96967,744,True,LABEL_ERROR,146.69,False,,True,True,Upheld,146.69
SHP-308802,SUPP_011,Supplier_011,EMEA-Europe,Giga Berlin,Tier 1,Chassis & Frame,Low,2024-04-30,2024-04,Q2 2024,360738,2592,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-598216,SUPP_080,Supplier_080,NA-West,Giga Fremont,Tier 1,Thermal Management,Medium,2024-03-16,2024-03,Q1 2024,20805,428,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-760356,SUPP_045,Supplier_045,APAC-China,Giga Shanghai,Tier 1,Interior,Low,2024-11-08,2024-11,Q4 2024,410909,646,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-355836,SUPP_075,Supplier_075,NA-West,Giga Fremont,Tier 2,Thermal Management,Low,2024-10-21,2024-10,Q4 2024,109940,3195,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-907451,SUPP_015,Supplier_015,NA-West,Giga Fremont,Tier 3,Powertrain,Medium,2024-03-16,2024-03,Q1 2024,351963,95,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-361303,SUPP_029,Supplier_029,NA-West,Giga Fremont,Tier 1,Fasteners,High,2025-03-29,2025-03,Q1 2025,63882,3532,True,SHORTSHIP,0.0,True,Authorized_Split_Shipment,False,False,N/A,0.0
SHP-686075,SUPP_025,Supplier_025,NA-East,Giga New York,Tier 1,Electronics,Medium,2025-03-10,2025-03,Q1 2025,71626,3789,True,SHORTSHIP,0.0,True,Authorized_Split_Shipment,False,False,N/A,0.0
SHP-854213,SUPP_005,Supplier_005,NA-West,Giga Fremont,Tier 1,Interior,Medium,2024-10-31,2024-10,Q4 2024,174355,3675,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-266889,SUPP_084,Supplier_084,NA-West,Giga Fremont,Tier 1,Fasteners,Low,2024-09-15,2024-09,Q3 2024,231735,4538,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-359249,SUPP_011,Supplier_011,EMEA-Europe,Giga Berlin,Tier 1,Chassis & Frame,Low,2025-01-15,2025-01,Q1 2025,256866,3736,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-646622,SUPP_070,Supplier_070,NA-West,Giga Fremont,Tier 3,Interior,Low,2025-03-06,2025-03,Q1 2025,342318,2321,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-181247,SUPP_001,Supplier_001,NA-East,Giga New York,Tier 3,Electronics,Medium,2024-09-05,2024-09,Q3 2024,336596,2009,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-184491,SUPP_040,Supplier_040,NA-Central,Giga Texas,Tier 1,Thermal Management,High,2024-12-31,2024-12,Q4 2024,157803,1970,True,LABEL_ERROR,546.51,False,,True,True,Upheld,546.51
SHP-260227,SUPP_053,Supplier_053,APAC-China,Giga Shanghai,Tier 3,Electronics,Low,2024-03-11,2024-03,Q1 2024,87078,1944,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-446954,SUPP_040,Supplier_040,NA-Central,Giga Texas,Tier 1,Thermal Management,High,2024-12-27,2024-12,Q4 2024,120172,576,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-907189,SUPP_003,Supplier_003,EMEA-Europe,Giga Berlin,Tier 2,Exterior Panels,Medium,2024-10-04,2024-10,Q4 2024,252278,3456,True,PO_VIOLATION,1156.85,False,,True,True,Partial_Credit,578.42
SHP-902784,SUPP_073,Supplier_073,EMEA-Europe,Giga Berlin,Tier 1,Exterior Panels,Low,2024-10-26,2024-10,Q4 2024,372654,210,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-508930,SUPP_064,Supplier_064,NA-East,Giga New York,Tier 2,Electronics,Low,2024-10-21,2024-10,Q4 2024,207429,3957,True,LABEL_ERROR,0.0,True,Label_Reprinted_Before_Scan,False,False,N/A,0.0
SHP-870319,SUPP_079,Supplier_079,APAC-China,Giga Shanghai,Tier 2,Battery Systems,Medium,2025-03-12,2025-03,Q1 2025,446162,3482,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-611945,SUPP_112,Supplier_112,NA-Central,Giga Texas,Tier 2,Electronics,Medium,2024-10-06,2024-10,Q4 2024,427361,4991,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-507746,SUPP_078,Supplier_078,NA-East,Giga New York,Tier 1,Powertrain,High,2024-04-22,2024-04,Q2 2024,151096,3620,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-981334,SUPP_079,Supplier_079,APAC-China,Giga Shanghai,Tier 2,Battery Systems,Medium,2024-06-21,2024-06,Q2 2024,358682,3362,False,NONE,0.0,False,,False,False,N/A,0.0
SHP-795205,SUPP_110,Supplier_110,NA-East,Giga New York,Tier 3,Exterior Panels,Medium,2024-08-27,2024-08,Q3 2024,74913,4425,True,PO_VIOLATION,1602.16,False,,True,True,Upheld,1602.16
SHP-372793,SUPP_078,Supplier_078,NA-East,Giga New York,Tier 1,Powertrain,High,2024-01-14,2024-01,Q1 2024,52012,3561,True,SHORTSHIP,3262.25,False,,True,False,N/A,3262.25
SHP-453894,SUPP_049,Supplier_049,NA-West,Giga Fremont,Tier 2,Electronics,Low,2024-07-13,2024-07,Q3 2024,179627,1783,False,NONE,0.0,False,,False,False,N/A,0.0
